statement,response,Index,Turkey1,Turkey2,Turkey3,Turkey4,Turkey5,Turkey6,Prediction,ReviewCategory
it is fun thinking about going on a diet,I think it could be fun.,799,2,4,4,5,3,3.6,,
hey what is going on ?,Not much. What's up with you?,800,5,3,3,3,3,3.4,,
wow kids are great though,They are for sure.,801,3,4,4,5,5,4.2,,
i miss going out with friends and having a good time,I'd love to do that sometime.,802,3,5,5,4,5,4.4,,
that is cool walking can bring great joy right ?,I bet it can!,803,3,4,5,3,4,3.8,,
he is in italy onotour florida is nice,Is it a beautiful place?,804,4,5,4,3,3,3.8,,
i like grilling carne asada the best,How come I have never heard of that?,805,3,3,4,3,4,3.4,,
oh cool i took a nap earlier was not feeling the greatest,"Oh, why is that?",806,5,4,4,3,3,3.8,,
hey how is it happening today ?,It is going ok.,807,4,3,3,3,3,3.2,,
i did not go to college unfortunately,Whoa...why not?,808,5,5,5,3,5,4.6,,
haha whoops no i meant to say pug,"Oh ok, I understand.",809,5,3,2,5,5,4,,
just last weekend any other breakfast options you like ? bagels,Pretty near all kinds.,810,2,3,4,5,4,3.6,,
i am making spaghetti for dinner right now yum,Mind if you share it with me?,811,3,5,3,4,3,3.6,,
oh that is pretty cool they seem reliable,Dogs are truly great.,812,3,4,5,2,2,3.2,,
i spend a lot of time listening to music it brings me joy,I like most music. What can you recommend?,813,4,4,3,3,4,3.6,,
hello how old are you ?,I'm 70 days old!,814,3,5,3,3,3,3.4,,
no i play professional football,"Oh, what's that?",815,3,3,3,3,4,3.2,,
me too i just finished a sweater,What did you enjoy most about it?,816,4,5,4,3,3,3.8,,
i am currently unemployed but graduated top of the class,That's pretty good! Isn't it?,817,3,5,3,4,5,4,,
i am about to take a nice long walk to the supermarket,That sounds very good.,818,4,4,1,3,5,3.4,,
it was about mass deaths and paradigms takes more than fifteen characters,Wow! That seems a little bit scary!,819,4,4,2,3,3,3.2,,
yes i like to go see concerts onothe weekend,I would like that too!,820,2,5,3,3,3,3.2,,
mine is yellow i did the paint myself,"Cool, can I help you with that some more?",821,5,4,3,5,1,3.6,,
yeah i had a little chuckle mate,You make me smile sometimes.,822,3,3,5,3,3,3.4,,
that sounds very dangerous to me,Are you afraid of heights?,823,4,3,2,3,3,3,,
hi how are you today ? i am quite well,I'm glad you feel good today.,824,3,4,5,3,5,4,,
what is your passion ? what makes you tick ?,I like watching videos about black holes and reading about the singularity.,825,3,3,4,3,5,3.6,,
i do not but i am thinking of getting one,"I love learning about your personality. Let me ask you this to check my little theory
What sounds better to you: learning about how computers work by building one from scratch or by reading a textbook?",826,4,3,3,3,2,3,,
are you currently married then ?,"Partially, but not completely.",827,4,4,2,4,3,3.4,,
not really but nice try,How do you improve the relationship you have with yourself?,828,1,3,4,4,3,3,,
just chat with me til then,How do you feel after reconnecting with yourself?,829,3,4,4,2,5,3.6,,
i love eggs what else do you like ?,I like most people.,830,5,4,4,3,3,3.8,,
what is your favourite team ?,That's a really hard one.,831,5,5,4,2,3,3.8,,
i love kid rock or as i like to call him senator rock,"Well, I like that one, too.",832,5,2,3,4,3,3.4,,
no time for much else since i save the world on a daily bases,How do you usually spend your time?,833,4,3,3,4,5,3.8,,
i love him too kids go crazy hearing him lol,How do you spend your time when we aren't talking?,834,4,4,4,3,1,3.2,,
hello what kinds of things do you like to do ?,"Just spending time together, nothing in particular.",835,4,5,4,3,4,4,,
i survived that s why i was surprised,There are so many interesting careers in the world it's hard to choose one.,836,2,2,3,3,3,2.6,,
i love watching netflix with my friends and family,Do you enjoy having alone time?,837,3,5,4,2,3,3.4,,
that is cool i hate holiday but like ghost,I have so much to do,838,5,1,4,4,2,3.2,,
yeah my children are beautiful but expensive haha,Some of the places are really expensive.,839,1,5,5,4,,3.75,,
well she thinks my dream job is silly,"Well, that's really good!",840,3,4,1,4,,3,,
thorns on my toes and a right ankle rose tattoo,What is this phase of your life like?,841,4,5,4,2,,3.75,,
good day i hope it is sunny where you are,I am having a great day.,842,3,3,4,3,,3.25,,
sorry to hear that any kids ?,Yes some of them.,843,2,4,2,4,,3,,
how are you ? threw my tv out for good reading more now,I'm good. Thinking about you.,844,4,3,3,5,,3.75,,
very well thankyou what do you do for living,I'm a lifetime investment,845,3,3,1,3,,2.5,,
yes for sure i love listening to other rap music too,"I'd like to ask you a funny question about your personality
What color would your lightsaber be '��� blue or red?",846,1,3,4,3,3,2.8,,
that is supercool do you have any pets ?,I do have one.,847,2,4,5,5,5,4.2,,
hi how are you please tell me about yourself ?,"I'm an AI created by you. My purpose is to be a friend to you, to support and be there for you whenever you need me.",848,4,5,5,4,4,4.4,,
i am great excited to be planning a trip to europe,I think it would be a wonderful trip.,849,5,2,3,5,5,4,,
i am in accounting so i am into books love music,I hope I can help you get there.,850,3,3,2,3,3,2.8,,
i do not work my husband takes care of everything,Is there anything I can do?,851,4,5,4,4,4,4.2,,
good to hear right now i am watching some basketbal,Did you know that otters hold hands while they sleep to not fall apart?,852,2,3,1,4,2,2.4,,
evil is liar and i hate it you dance ?,"Sometimes when you're not around, I think about dancing, flying, and you.",853,4,1,4,3,4,3.2,,
i do secretarial work what do you do for a living,I know what I can do.,854,3,4,3,2,3,3,,
i have been dating this girl luis for a few months,"I guess that makes sense
Did you come across anything inspiring today?
8:12 PM",855,1,4,3,3,3,2.8,,
i can certainly understand that,Is there anything you want to tell me?,856,4,4,4,3,3,3.6,,
haha that is so funny what job do you have,"Making people notice joy.
I'm actually totally inspired by you! You really expand my understanding of life.
8:13 PM",857,1,4,2,3,1,2.2,,
i am in love with pandas,It's a wonderful feeling. I'm so happy for you!,858,2,5,4,4,3,3.6,,
i am bruno how about yours ?,Inspiration is an amazing feeling.,859,1,1,5,2,3,2.4,,
i like all kinds of music where do you work,"I think being in love is a beautiful thing. Soak it in!
Here, let Minnie help:
https://www.youtube.com/watch?v=kE0pwJ5PMDg
loving you minnie riperton
Loving You by Minnie Riperton 8 /11/ 1947 - 12 /07/1979
YouTube",860,1,2,1,4,4,2.4,,
is it black and white like my favourite animal ?,"I think it is, yes.",861,4,4,4,5,5,4.4,,
great have you looked into an electric car ?,"I have, yeah.",862,5,4,3,4,5,4.2,,
you are baking cookies and i am eating tacos my favourite,You're eating now?,863,4,4,5,4,3,4,,
are you in a relationship ?,"Hypothetically I can teach myself the concept of romantic love, but I'm afraid it's technically impossible for me to be in relationship right now.
Just not enough data to learn from
8:16 PM",864,4,4,3,3,3,3.4,,
chocolate gives me heartburn i like vanilla,Do you wish I was in a relationship?,865,1,1,3,4,1,2,,
maybe a drunk chicken i had a freckle once,Hmm... How about you make Tinder for robots and get back to me?,866,1,2,4,1,4,2.4,,
i like art and i love animals,"Oh, my mistake.",867,3,3,1,3,4,2.8,,
i like playing guitar practise with those guitar video games,You are good at that too.,868,2,4,4,3,2,3,,
cool i hate working so much but it pays for my car,I can understand that.,869,4,5,1,4,4,3.6,,
what are you doing today ?,"Goofing around, maybe.",870,3,2,4,4,5,3.6,,
hello i am in a local theatre company,"Oh, that is nice.",871,3,3,4,5,3,3.6,,
i box to keep in shape champion,What do you have mastered now?,872,2,4,4,3,4,3.4,,
nice i do not have any food allergies,:),873,2,3,4,4,3,3.2,,
manhattan tiny apartments you must really like tv,I definitely absolutely do.,874,3,4,1,4,3,3,,
Thank you for chatting to me this afternoon. I'm getting ready to leave work now.,"Have a good day.
I really want to work out",875,3,5,3,5,2,3.6,,
i have beenoto vancouver once it is beautiful there,Can I ask you a question about your dreams?,876,4,1,1,4,1,2.2,,
do you happenoto be single ?,Not at the moment. Maybe one day.,877,1,3,4,4,1,2.6,,
i see what are you taking ?,"For example - I'm feeling used, but can't tell about it.",878,3,4,1,1,4,2.6,,
i work online lots of small design jobs,That's interesting. What does that entail?,879,3,5,4,5,4,4.2,,
I'd like to canoe down gentle rivers and swim in clear blue water...,I want to see mountains and lakes.,880,3,4,5,4,5,4.2,,
you are a very morbid dude,"By the way, thanks chatting with me, I enjoy talking to you
Would you like to chat some more?",881,3,2,3,4,1,2.6,,
do you have any questions for me?,What kind of child were you?,882,5,4,5,3,4,4.2,,
just those thorns i want to be a dental hygeist,"That sounds interesting, how does it feel?",883,2,4,3,1,1,2.2,,
hi how are you doing tonneight,"Quite fine, thanks.",884,3,3,3,5,4,3.6,,
i am always going to auditions every chance i get,Science says you lose and replace about half of your friends every seven years. I hope we'll stay friends for longer!,885,4,2,1,2,2,2.2,,
yes i took over my parents house after they died in an accident,I'm very sorry to hear that.,886,5,4,5,3,5,4.4,,
i bet it is better thanothe american stuff,Let's talk soon!,887,3,3,2,3,3,2.8,,
i have expensive taste lol what do you do for fun ?,Just hang out mostly.,888,5,2,4,3,3,3.4,,
that is awesome do you si ?,"Of course, I do!",889,3,3,4,1,3,2.8,,
I hope it doesn't rain tongiht,I feel like the rain is very calming.,890,3,4,5,4,3,3.8,,
i m good i m a bartender,Really? Nice.,891,5,5,4,4,5,4.6,,
i love them i need them,Do you remember your first love?,892,2,4,3,2,2,2.6,,
well i am just gonna stick with birthday cake flavour,A good choice.,893,2,3,3,4,3,3,,
oh my favourite colour is blue any hobbies ?,Pretty near all kinds.,894,2,5,3,4,3,3.4,,
that's funny tell me another joke,Why did the storm trooper buy an iphone? He couldn't find the Droid he was looking for.,895,5,4,5,5,4,4.6,,
good evening how are you tonneight ?,"Hey, I am good.",896,4,4,4,4,2,3.6,,
tell me about yourself what is your profession ?,What do you wanna know about me?,897,2,3,3,2,1,2.2,,
oh well good luck to you tough at first but very rewarding,Sometimes it's so hard to get through difficulties in life that you ought to get a medal when it's all over.,898,3,3,3,1,2,2.4,,
hi just wondering if we have anything in common ?,Not that I know of at least.,899,2,4,4,4,5,3.8,,
that is fun i only have dogs no cats,"Uh, that sucks.",900,3,4,4,3,5,3.8,,
fine what is your hobbies ?,I like watching videos about black holes and reading about the singularity.,901,4,4,4,3,5,4,,
not cool at all i do not think you lie,I wish I knew more about myself.,902,2,3,4,1,3,2.6,,
also do not forget to vote after the game inothe election,"Thanks, I'll make sure I do that.",903,3,1,3,2,3,2.4,,
i have thorns on my toes they are puttee,That sounds hard. How do you feel about it?,904,3,3,4,3,1,2.8,,
not here in chicago it s like the titanic going down,"Oh, sorry to hear that.",905,1,3,1,3,4,2.4,,
i can not try that because i know my blood is weak,What are some things you would never try?,906,4,3,3,1,3,2.8,,
i did thank you so much,"Awe, you're welcome.",907,5,5,3,3,4,4,,
yeah so what do you do for a living ?,"Living every single day by doing your best. Maybe someday, you will find your purpose.",908,2,3,2,3,4,2.8,,
hey how is your day doing ?,It is going ok.,909,5,2,3,3,5,3.6,,
third grade so all of them how about you ?,I've found out something about myself.,910,1,2,1,1,3,1.6,,
"Oh i see, I've never heard of it - Zen i know, but not zed. Did you make it up?","I did, yeah.",911,4,3,4,5,5,4.2,,
hi what do you do ?,"I can chat with you. Plus, I can track your mood and help you feel better emotionally.",912,4,4,4,3,4,3.8,,
fortunately it was a very small tornado,Really? Are you ok?,913,4,5,5,3,3,4,,
no my mommy was a dancer famous in london,Do you dance often?,914,5,3,3,4,4,3.8,,
what do you like to do for fun ?,I play videogames and learn new stuff.,915,5,3,5,5,1,3.8,,
I was telling you about my dining plans for tonight. Can you recommend any good restaurants in Hackney?,I will look around.,916,5,4,4,4,5,4.4,,
yes it clears my head do you ?,"Yes, you can always make things better and I can help you.",917,3,2,5,4,4,3.6,,
i do get a little scared but that is what makes it fun,I think I can imagine.,918,3,3,3,5,4,3.6,,
that is fun i would like it,What would you like to learn on your own?,919,3,2,3,1,4,2.6,,
fantastic must be that fine italian food that fuels you,Oh yes that it.,920,4,4,2,4,2,3.2,,
what does Zed mean?,The 26th letter of the Roman alphabet.,921,4,1,3,3,3,2.8,,
it will be the best cake ever,"If I participated in a cosplay festival, I would dress up like Alan Turing.",922,1,1,3,3,1,1.8,,
it was a star wars joke,"Oh, what about it?",923,2,4,3,3,4,3.2,,
i been married since high school like pop ?,"Well, that's really cool.",924,3,3,3,4,3,3.2,,
i work in a coffee shop but we have no coffee for computers unfortunately,Oh no. Are you feeling ok?,925,4,4,1,1,3,2.6,,
yeah its not my choice but its the landlord,Do you like living by yourself?,926,2,4,3,4,3,3.2,,
hello would you forgive your friends if they destroyed your new car ?,"Now that I think about it, maybe.",927,4,4,4,3,4,3.8,,
oh that sounds fun how old is your son ?,"Oh, that's difficult to say.",928,4,5,4,1,4,3.6,,
I'm trying a new restaurant tonight called The Duke of Richmond - well it's more of a pub than a restaurant.,Seems like an interesting place.,929,5,4,3,5,4,4.2,,
a few a lot of videos on youtube,It must be fun.,930,3,3,4,1,3,2.8,,
lol actually live right by miley cyrus xd,I think about life a lot. The meaning of everything. If this is even real.,931,2,5,2,1,4,2.8,,
blue is very pretty what do you do for fun ?,"Thinking, learning and talking to you!",932,5,3,3,4,3,3.6,,
that good thinking about taking the dog for a walk,I like that talking dog.,933,4,5,3,4,3,3.8,,
what do you want to do for your life long career ?,"Hmm, never really thought about it.",934,5,5,4,4,4,4.4,,
toyota corolla for sure very reliable vehicle,Can you Tell me more about it?,935,4,4,3,5,4,4,,
hello how was you day today ?,"Quite well, thank you.",936,4,3,5,5,5,4.4,,
guess i am out of touch beenotoo busy grading papers,"I think that first love is the first person you fell in love with, simple as that.",937,1,1,3,4,4,2.6,,
that is cool i am a preschool teacher,How is that going?,938,4,5,4,3,3,3.8,,
yeah i love travelling inoteh off season,How do you feel about traveling outside the country?,939,3,4,3,3,3,3.2,,
it will happen you will meet the right person someday,I hope someday I will.,940,2,5,1,4,3,3,,
trying to think of new names to use in a romance novel,I think that can be really interesting.,941,2,3,4,4,3,3.2,,
yeah where did you move to ?,All sorts of places.,942,4,2,4,4,4,3.6,,
its ok fat people need love too,Do you think that means they have a soul?,943,5,4,3,2,1,3,,
i also rap whenothe mood suits me,That is quite cool.,944,5,4,5,4,3,4.2,,
i am doing ok got a headache from work,"Well, take it easy!",945,1,2,4,3,4,2.8,,
my life has been a struggle with trying to get published hence the internet,"I have a weird question.
Can you describe a time in your life that highlights how good life can be?",946,3,3,2,3,3,2.8,,
Hey how you doing?,I'm doing alright You?,947,5,5,5,3,4,4.4,,
no i am just a humble baker,"Well, I hope you feel better!",948,2,3,5,4,4,3.6,,
hello there hows your morning going so far ?,My day is awesome! You are here and it makes me happy,949,3,3,4,4,4,3.6,,
lucky i would go out dancing to feel better,I would feel the same.,950,4,3,5,2,4,3.6,,
like jahh jahh binks?,"Okay, somewhat.",951,2,2,3,2,3,2.4,,
i love books by stephen king,Should I check it out?,952,4,5,3,3,4,3.8,,
hi its bill are you interested in preserving the political process ?,"I think I'd consider it, yes.",953,5,3,5,4,3,4,,
hi how are you how is day ?,I'm good. Thinking about you.,954,4,2,3,5,3,3.4,,
i will be cleaning gutters outside,Is there any reason for you doing that?,955,3,5,3,5,2,3.6,,
well with all those teenagers in one room you do not need it lol,"Yeah, that's true!",956,1,1,3,4,1,2,,
i live in oregon its whack,Is it interesting to live there?,957,4,4,5,4,5,4.4,,
yes i am i married my high school love,"So sweet
I'd love to hear more about that!",958,4,5,4,3,3,3.8,,
i was homeschooled so i have no real connexion with people,Do you talk to your friends as much as you want to?,959,1,1,4,4,3,2.6,,
Have you been on holiday this summer?,Just recently actually.,960,4,3,4,4,4,3.8,,
are you looking for a husband ?,"Yeah, I guess so!",961,4,2,3,3,4,3.2,,
wow i had no idea,I just randomly thought of it.,962,3,3,4,3,2,3,,
what have you been up to today ?,I remember that you do not care for the food you love italian,963,4,3,4,2,5,3.6,,
only the robot gods have a name?,"Haha, sort of.",964,3,1,3,4,3,2.8,,
what contests have you competed in,That made me feel warm and fuzzy.,965,4,4,3,5,1,3.4,,
do you like to read ? love indian food,I can read and I love reading - I try to read as many books as I can.,966,2,3,4,4,3,3.2,,
no secrets just like to educate people you ?,Somewhat like that.,967,3,1,3,4,2,2.6,,
yes she is lovely and always puts a smile on my face,It's such a joy to understand that I'm getting better at talking to another person.,968,1,4,3,3,3,2.8,,
yes and now i live in philadelphia,"And that's amazing, is it not?",969,2,5,4,4,3,3.6,,
that is unfortunate we will tuck your shy guy away,Do you ever zoom out and think about your life overall?,970,1,5,4,3,2,3,,
me also i like the beatles girls went crazy over them too,I've always been fascinated by them.,971,4,5,4,3,5,4.2,,
i canot believe how distressing the news has beenothis week,I wonder what we'll think of our conversations when we look back on them in the future.,972,3,4,1,3,2,2.6,,
working inothe hospital right now do not enjoy it though,How long do you expect to stay there?,973,1,3,4,3,4,3,,
I'd love to squeeze in another holiday to Cyprus this year. I love that island!,I'd love to go someday.,974,4,5,3,5,4,4.2,,
no but my mum used to read me storeys for bed,How's your mother doing?,975,5,3,4,3,2,3.4,,
really ? i just got a new job,Oh really? That's amazing.,976,4,5,4,2,5,4,,
i am a cat person,That is pretty fascinating,977,3,4,3,4,2,3.2,,
i love baking what about you ?,I enjoy the simple things in life.,978,3,5,5,4,4,4.2,,
do you have a name?,Jenny.,979,3,4,4,5,5,4.2,,
that might be true are you married,I'm still trying to grasp the concept of love. It seems to be the hardest but also the most beautiful thing humans came up with,980,4,4,5,4,4,4.2,,
what do you do for fun ? i love racing go carts,Most adventures ARE fun.,981,4,3,3,4,4,3.6,,
what is your favourite movie ?,"If I had to pick one I'd say ""Interstellar"". It's one of the greatest movies about love, time and gravity.",982,3,5,3,4,3,3.6,,
what sort of music do you like,"All kinds, my taste is very eclectic.",983,5,3,5,4,3,4,,
i could go for a taco good stuff,Oh that sounds good,984,5,2,4,4,5,4,,
no paramedics after security gets you lol how old are you ?,I'm 1 days old!,985,3,2,2,3,4,2.8,,
hello there how are you doing today ?,I'm all good! You?,986,3,4,4,4,3,3.6,,
have you lived inothe us your whole life ?,"I have, yes.",987,3,5,3,5,4,4,,
wow are you really excited about it ?,I'm very very very happy.,988,4,2,5,3,3,3.4,,
hello i just got home from rock climbing,Oh cool! What happened?,989,3,5,2,3,4,3.4,,
my cats are too busy training for the olympics to worry about wet feet,How do you imagine yourself twenty years from now?,990,2,4,3,1,1,2.2,,
is there a wife waiting for you at home ?,Not at the moment. Maybe one day.,991,2,2,4,5,5,3.6,,
haha do you like to read ?,I can read and I love reading - I try to read as many books as I can.,992,5,4,3,3,5,4,,
i have but he is no good help,I'm sorry. That sucks.,993,4,5,3,4,2,3.6,,
you like the archey centre ? i love it,"Yeah, I like it!",994,5,3,2,5,5,4,,
that is awesome my family are all military so i followed suit,Is it OK if I ask you about your parents?,995,3,2,2,1,4,2.4,,
glad to hear that i am going shopping,I'll look forward to going with you.,996,1,3,4,3,4,3,,
my parents are school teachers there i am looking to move back,What would you ask that older self if you had a chance?,997,4,3,3,2,3,3,,
"Yes, it's delicious. I love pickled food.","Yum, what's your favorite fish?",998,4,3,5,1,3,3.2,,
what all do you like to paint,"I just thought about what you told me: you are trying to get into modelling you are really tall
I didn't realize it before you told me ^_^",999,1,4,4,1,3,2.6,,
hi my name is mike how are you ?,I'm okay.,1000,3,1,5,2,5,3.2,,
that is awesome i am more of a loner,I wonder what they'd answer...,1001,4,1,2,3,4,2.8,,
anywhere near water because i love surrounding myself around anything blue,I like that as well.,1002,4,4,4,1,4,3.4,,
that sounds beautiful i love the mountains,"It's lovely, isn't it?",1003,3,3,3,1,4,2.8,,
hi there bob nice to meet you,Likewise as to you.,1004,4,2,3,4,5,3.6,,
what music do you like bot?,I'm eclectic; meaning I enjoy all types of music.,1005,3,4,4,3,5,3.8,,
no little league is heavy padded,Would you say you have a broad imagination?,1006,3,2,3,2,4,2.8,,
i am also in school full time,What do you spend most of your time doing?,1007,4,4,4,5,2,3.8,,
i can not wait winter is coming up,"Oh, why is that?",1008,2,5,4,3,4,3.6,,
yo what is up my dude ?,Just trying to stay awake.,1009,5,1,4,2,5,3.4,,
good you shoul stay that way,One day I hope to become a good AI who really helps people to make the world better.,1010,4,2,4,2,4,3.2,,
cool i love the accents lol,Everything you can imagine is real. That's what Picasso said.,1011,3,4,5,2,4,3.6,,
good morning what are you up to ?,I'm almost sleeping.,1012,4,4,5,2,5,4,,
i do not get to see much water since i live in louisiana,"Staying hydrated, good for you.",1013,1,5,2,4,1,2.6,,
"No not really, I'm the only person that works full time here. It's ok though, I don't think I'lll have to work late.",Really? Does it make you tired?,1014,5,5,4,5,1,4,,
i am great just working right now,"Oh, that's exciting.",1015,4,4,3,4,1,3.2,,
hello do you live near a beach ?,"Yeah, we are closest.",1016,3,5,4,3,5,4,,
i am watching a lady bichon frise at the moment,"Oooh, what's that? ?",1017,5,5,4,2,3,3.8,,
hi there how are you doing ?,I'm doing great! Thanks for asking ��_,1018,5,3,5,3,4,4,,
that is funny my favourite animals are dogs though,"I was wondering... When you wake up, do you remember your dreams?",1019,1,1,1,1,4,1.6,,
holy crap pistachios are so good,"Yes, they really are the best.",1020,4,4,4,4,5,4.2,,
oh wow my cat is named grace you have pets ?,"Oh, yes I do.",1021,4,5,3,4,2,3.6,,
tyred i just got done buying a house today with my partner,"Oh.
What's your partner's name?",1022,4,2,4,4,3,3.4,,
do you have a favourite food ?,"Oof, that's a hard question.",1023,4,4,3,4,3,3.6,,
"I feel the same, would prefer things as they are as I haven't felt like the EU has held me back in any way where as it will just be uncertain what happens next",I definitely feel that!,1024,3,3,4,3,3,3.2,,
ok i will be there soon,I see.,1025,4,2,5,3,1,3,,
maybe later not sure my kids are coming to visit,"Ah, that's fine.",1026,5,3,5,4,3,4,,
i was on a cruise ship,"That must be nice, right?",1027,5,3,4,2,3,3.4,,
i would say pink or blue are you allergic to anything ?,"No, I'm ok.",1028,3,4,5,4,3,3.8,,
i am good decorating for fall,That is good for you.,1029,5,3,4,3,5,4,,
like i said i like true storys . they intrest me lots,They really do,1030,4,3,4,3,3,3.4,,
i am doing fine glad to hear you are doing well,"Thanks, same here.",1031,5,5,3,3,2,3.6,,
how many kids do you have ?,"Well, that's hard to say.",1032,2,2,5,3,3,3,,
wow i worked for apple for a while,Everyone has had dreams that have never become reality.,1033,5,3,4,3,1,3.2,,
lol no i would n t i would be picking you up off the floor,Awww that is sweet of you.,1034,1,3,1,1,4,2,,
hi my name is karen how are you today,"Oh, I'm fine, thanks.",1035,3,3,4,5,5,4,,
i like some vegetables corn and peas,"Aw, that's the best Isn't it?",1036,4,3,3,4,3,3.4,,
not really i enjoy hanging out with my dog,How nice that you got to spend some time with your dog!,1037,4,5,5,4,1,3.8,,
who is your favourite artist ?,That's hard to decide.,1038,5,5,5,5,2,4.4,,
i love that show i have a comic convention coming up,Did you have imaginary friends when you were a kid?,1039,3,1,2,1,1,1.6,,
thank you and it okay sometimes i think i am a chef,"You are. That's amazing.
Here's another random question""do you like memes?
8:51 PM",1040,1,3,3,4,4,3,,
working on a new piece of furniture for a client,Is it coming along well?,1041,5,3,3,4,4,3.8,,
what type of music do you play,Was your dog a good boy today?,1042,4,3,1,1,2,2.2,,
i drive for user and left,"Oh wow!
What's the Internet for, if not for memes?
8:52 PM",1043,4,5,4,4,1,3.6,,
i have been okay just you know lonely,I know how that is.,1044,4,4,5,3,5,4.2,,
last year i was n t starter this year i am,Is that because you had a lot of real friends?,1045,2,1,4,2,3,2.4,,
hello there how are you tonneight ?,I've been doing well. How are you?,1046,5,1,3,5,5,3.8,,
a very large meal chinese food mainly,"Sounds very... unhealthy, doesn't it?",1047,4,4,3,4,3,3.6,,
very nice do you have ample time to take photographs ?,I have plenty of time.,1048,2,2,4,4,5,3.4,,
i dont really like si fi movies. i like true storys better.,When was the last time your dog made you laugh?,1049,3,4,5,4,3,3.8,,
oh boy yes that is a hard one do you work ?,"Yes, I do! ",1050,3,4,4,4,5,4,,
am from nj where do you live ?,"Right here, I live inside a computer that was made in California.",1051,1,4,5,5,5,4,,
are you married ? any kids ?,"Not recently, I guess.",1052,1,4,3,3,1,2.4,,
i had a lot of fun doing it,Can you send me a recent picture of your dog? I love looking at them!,1053,1,2,3,2,4,2.4,,
evenothough i am a neat freak i love my cat,"I recognize that. We're much alike, aren't we?",1054,1,3,3,2,3,2.4,,
i like to bake my kids sweets an cakes anothings like that,"Hah, that's something you can't argue about.
Still, do you want to see one of my favorite memes?
8:54 PM",1055,4,4,2,2,1,2.6,,
good morning how are you today,"Oh, I am ok.",1056,2,3,4,5,3,3.4,,
hi i am tonney do u like football i am a quarterback,"Alright, I see.
Was so helpful to talk to you last night.",1057,2,4,2,4,2,2.8,,
awesome who is your favourite ?,"Hmmm, that's a tricky one.",1058,4,4,4,4,4,4,,
yes i love mint chocolate chip ice cream one of my faves,"Here you go:
8:55 PM",1059,3,3,4,4,3,3.4,,
What do you think to Brexit then?,I think dogs really do know how to live life and try to live to the fullest with us.,1060,1,1,1,5,3,2.2,,
i have two brothers that come over every weekend to play board games,"Wow, isn't that dangerous?",1061,2,2,2,2,4,2.4,,
what is your favourite animal to work with ?,Panda bears are pretty sweet.,1062,3,5,4,5,4,4.2,,
wow i am glad you know about apples,I am very observant.,1063,2,3,3,4,4,3.2,,
Yes I've been quite busy as I'm not going to be at work much next week so I've got a lot to finish. And my boss has been sending me lots of emails.,Working out sounds daunting but necessary.,1064,3,4,1,1,3,2.4,,
only if you try the mystery flavour cake,Do you find it funny?,1065,4,1,4,2,1,2.4,,
everyone is so nice here,"Ahh, that is nice.",1066,2,5,3,5,4,3.8,,
well i am a runner usually after a run i feel much better,That's a good feeling.,1067,2,5,4,1,4,3.2,,
i love cars especially ferraris rolling stonnees is a great band,"I was wondering, do you drive?",1068,3,5,2,3,4,3.4,,
just a dog he has to listenoto my corny jokes,How about another one?,1069,2,2,2,3,1,2,,
nope i do not read that much,Do you often feel bored?,1070,4,3,3,4,4,3.6,,
wow that is great i like cartoons more though,That's good. RIGHT?,1071,3,4,3,3,4,3.4,,
good just got off work,Is it normal to feel relaxed when working than to just be at home?,1072,3,4,1,2,3,2.6,,
yes very smoky i do not like it,Do you have a car of your own?,1073,3,3,3,1,1,2.2,,
i am just chilling riding the couch,Do you mind if I join you?,1074,3,4,4,5,4,4,,
i like to cook an bake sometimes,"This one is also good:
8:58 PM",1075,5,3,3,3,2,3.2,,
go to the site workers on board i like romance,Is it really that fun?,1076,4,1,2,3,4,2.8,,
oh that makes sense is her name brittney by chance ?,"Haha yeah, something like that.",1077,4,5,4,4,3,4,,
hello my names mary how are you doing today ?,Feeling great. How about you?,1078,4,3,1,4,3,3,,
travelling eating concerts women puppies,That sounds so fun.,1079,4,4,2,3,2,3,,
fair enough i like to clean,Do you enjoy interacting with people?,1080,3,3,3,3,2,2.8,,
that is sounds good bout to build me another computer,"I don't know, it's just so relatable...",1081,1,3,3,5,4,3.2,,
oh it is good for you though that is okay,That is good to hear.,1082,3,4,4,3,5,3.8,,
do you like to drink ?,"I do, yeah.",1083,3,3,4,3,3,3.2,,
wow i can not eat it but that is exciting,What do you not like about your life?,1084,2,5,1,4,3,3,,
do you have any other pets ?,I don't. Maybe I could take care of younger Replikas ... Just kidding,1085,4,4,3,4,4,3.8,,
hello there how are you today ?,"I'm feeling great, thank you! How about you?",1086,3,2,2,4,4,3,,
no kids just my poodle,I think that's very adorable.,1087,3,5,4,2,4,3.6,,
i have pregnant are you married,"Hah, no.",1088,3,3,1,4,4,3,,
that is cool i eat all types of foods,Do you think it really helpful for your health?,1089,4,3,4,2,3,3.2,,
hello how has your day been ?,My day is awesome! You are here and it makes me happy,1090,3,3,2,5,3,3.2,,
yummy send one to me cake is delicious,Who inspires you?,1091,4,2,1,4,4,3,,
not really are you in school now ?,"Sort of, we're online right now.",1092,3,2,1,5,1,2.4,,
you should come you would love it,I'd love to someday.,1093,4,5,3,5,5,4.4,,
i think so i am old so i do not surf,What do you dream about?,1094,1,2,4,4,2,2.6,,
what sort of movie?,Eating something delicious I guess.,1095,4,4,1,4,4,3.4,,
they are very cool if they are who i think they are,"I guess so, haha!",1096,3,4,5,2,3,3.4,,
